train_size0,train_size1,train_size2,test_size0,test_size1,test_size2,train_imb0,train_imb1,train_imb2,test_imb0,test_imb1,test_imb2
80,59,79,29,50,30,0.2625,0.152542373,0.278481013,0.172413793,0.34,0.133333333
76,72,76,36,40,36,0.394736842,0.472222222,0.552631579,0.638888889,0.475,0.305555556
78,74,66,31,35,43,0.538461538,0.594594595,0.515151515,0.580645161,0.457142857,0.604651163
78,67,83,36,47,31,0.666666667,0.611940299,0.710843373,0.666666667,0.744680851,0.548387097
62,47,49,17,32,30,0.338709677,0.446808511,0.326530612,0.470588235,0.25,0.433333333
57,55,60,29,31,26,0.49122807,0.527272727,0.583333333,0.620689655,0.548387097,0.423076923
39,14,41,8,33,6,0.564102564,0.285714286,0.585365854,0.375,0.636363636,0.166666667
18,83,89,77,12,6,0.777777778,0.843373494,0.876404494,0.87012987,0.916666667,0.5
66,62,68,32,36,30,0.409090909,0.467741935,0.411764706,0.46875,0.361111111,0.466666667
66,54,62,25,37,29,0.363636364,0.388888889,0.338709677,0.36,0.324324324,0.413793103
81,58,79,28,51,30,0.765432099,0.586206897,0.835443038,0.678571429,0.921568627,0.5
63,56,59,26,33,30,0.444444444,0.464285714,0.406779661,0.423076923,0.393939394,0.5
73,72,73,36,37,36,0.794520548,0.861111111,0.794520548,0.861111111,0.72972973,0.861111111
57,55,56,27,29,28,0.403508772,0.454545455,0.357142857,0.407407407,0.310344828,0.5
64,61,65,31,34,30,0.46875,0.409836066,0.446153846,0.387096774,0.5,0.433333333
78,67,83,36,47,31,0.717948718,0.671641791,0.78313253,0.75,0.808510638,0.580645161
44,62,64,41,23,21,0.795454545,0.870967742,0.890625,0.926829268,0.826086957,0.761904762
73,70,69,33,36,37,0.890410959,0.828571429,0.884057971,0.818181818,0.944444444,0.837837838
71,79,76,42,34,37,0.929577465,0.873417722,0.881578947,0.833333333,0.941176471,0.918918919
65,62,63,30,33,32,0.215384615,0.258064516,0.19047619,0.233333333,0.151515152,0.28125
71,45,104,39,65,6,0.084507042,0.2,0.125,0.205128205,0.076923077,0.166666667
77,67,82,36,46,31,0.831168831,0.835820896,0.829268293,0.833333333,0.826086957,0.838709677
72,66,80,37,43,29,0.652777778,0.560606061,0.6,0.513513514,0.674418605,0.620689655
58,54,60,28,32,26,0.344827586,0.333333333,0.3,0.285714286,0.3125,0.384615385
63,55,62,27,35,28,0.571428571,0.690909091,0.64516129,0.777777778,0.542857143,0.607142857
81,82,85,43,42,39,0.679012346,0.841463415,0.823529412,0.976744186,0.666666667,0.692307692
89,66,91,34,57,32,0.382022472,0.363636364,0.43956044,0.441176471,0.438596491,0.28125
59,85,72,49,23,36,0.389830508,0.470588235,0.486111111,0.530612245,0.391304348,0.388888889
68,67,71,35,36,32,0.161764706,0.164179104,0.14084507,0.142857143,0.138888889,0.1875
61,77,86,51,35,26,0.360655738,0.454545455,0.38372093,0.450980392,0.285714286,0.461538462
75,83,92,50,42,33,0.626666667,0.722891566,0.663043478,0.74,0.571428571,0.696969697
80,70,72,31,41,39,0.8125,0.8,0.763888889,0.741935484,0.780487805,0.846153846
59,61,62,32,30,29,0.542372881,0.508196721,0.532258065,0.5,0.566666667,0.517241379
86,69,83,33,50,36,0.61627907,0.623188406,0.626506024,0.636363636,0.62,0.611111111
61,77,86,51,35,26,0.524590164,0.506493506,0.5,0.490196078,0.514285714,0.538461538
91,64,97,35,62,29,0.89010989,0.921875,0.886597938,0.914285714,0.870967742,0.931034483
9,86,85,81,4,5,0.444444444,0.848837209,0.835294118,0.864197531,0.25,0.6
70,71,59,30,29,41,0.7,0.704225352,0.796610169,0.8,0.793103448,0.634146341
71,45,104,39,65,6,0.126760563,0.133333333,0.125,0.128205128,0.123076923,0.166666667
62,50,58,23,35,27,0.258064516,0.22,0.327586207,0.304347826,0.342857143,0.148148148
67,66,65,32,33,34,0.343283582,0.348484848,0.276923077,0.28125,0.272727273,0.411764706
64,58,62,28,34,30,0.3125,0.310344828,0.258064516,0.25,0.264705882,0.366666667
44,72,92,60,32,12,0.795454545,0.875,0.869565217,0.9,0.8125,0.75
79,79,94,47,47,32,0.164556962,0.101265823,0.180851064,0.127659574,0.234042553,0.0625
61,64,65,34,31,30,0.393442623,0.375,0.369230769,0.352941176,0.387096774,0.4
74,77,77,40,37,37,0.851351351,0.883116883,0.896103896,0.925,0.864864865,0.837837838
68,77,79,44,35,33,0.720588235,0.675324675,0.721518987,0.681818182,0.771428571,0.666666667
64,59,65,30,35,29,0.5,0.491525424,0.476923077,0.466666667,0.485714286,0.517241379
71,45,104,39,65,6,0.098591549,0.111111111,0.096153846,0.102564103,0.092307692,0.166666667
71,45,104,39,65,6,0.281690141,0.244444444,0.240384615,0.205128205,0.261538462,0.5
63,56,63,28,35,28,0.619047619,0.714285714,0.650793651,0.75,0.571428571,0.678571429
64,63,67,33,34,30,0.21875,0.26984127,0.223880597,0.272727273,0.176470588,0.266666667
62,57,59,27,32,30,0.35483871,0.315789474,0.338983051,0.296296296,0.375,0.333333333
58,56,60,29,31,27,0.517241379,0.5,0.4,0.379310345,0.419354839,0.62962963
90,89,77,38,39,51,0.855555556,0.898876404,0.87012987,0.921052632,0.820512821,0.882352941
59,60,65,33,32,27,0.372881356,0.383333333,0.353846154,0.363636364,0.34375,0.407407407
71,45,104,39,65,6,0.253521127,0.311111111,0.230769231,0.256410256,0.215384615,0.666666667
67,64,67,32,35,32,0.52238806,0.5625,0.582089552,0.625,0.542857143,0.5
61,56,59,27,32,29,0.606557377,0.607142857,0.627118644,0.62962963,0.625,0.586206897
68,63,69,32,37,31,0.426470588,0.428571429,0.405797101,0.40625,0.405405405,0.451612903
75,64,73,31,42,33,0.493333333,0.5,0.479452055,0.483870968,0.476190476,0.515151515
68,63,79,37,42,26,0.294117647,0.285714286,0.278481013,0.27027027,0.285714286,0.307692308
59,59,58,29,29,30,0.576271186,0.576271186,0.620689655,0.620689655,0.620689655,0.533333333
69,70,73,37,36,33,0.31884058,0.271428571,0.260273973,0.216216216,0.305555556,0.333333333
70,58,64,26,38,32,0.457142857,0.517241379,0.5,0.576923077,0.447368421,0.46875
68,64,66,31,35,33,0.338235294,0.3125,0.318181818,0.290322581,0.342857143,0.333333333
65,65,64,32,32,33,0.4,0.4,0.4375,0.4375,0.4375,0.363636364
58,53,59,27,32,26,0.551724138,0.622641509,0.525423729,0.592592593,0.46875,0.653846154
70,62,74,33,41,29,0.471428571,0.483870968,0.445945946,0.454545455,0.43902439,0.517241379
60,52,62,27,35,25,0.466666667,0.442307692,0.435483871,0.407407407,0.457142857,0.48
64,60,62,29,33,31,0.4375,0.4,0.419354839,0.379310345,0.454545455,0.419354839
70,62,72,32,40,30,0.314285714,0.306451613,0.291666667,0.28125,0.3,0.333333333
66,63,65,31,34,32,0.393939394,0.365079365,0.353846154,0.322580645,0.382352941,0.40625
67,65,72,35,37,30,0.358208955,0.323076923,0.319444444,0.285714286,0.351351351,0.366666667
82,98,72,44,28,54,0.512195122,0.479591837,0.486111111,0.454545455,0.535714286,0.5
62,94,84,58,26,36,0.903225806,0.914893617,0.904761905,0.913793103,0.884615385,0.916666667
66,67,73,37,36,30,0.333333333,0.328358209,0.301369863,0.297297297,0.305555556,0.366666667
55,79,78,51,27,28,0.872727273,0.962025316,0.897435897,0.960784314,0.777777778,0.964285714
74,86,82,47,35,39,0.905405405,0.813953488,0.792682927,0.723404255,0.885714286,0.923076923
89,73,92,38,54,35,0.483146067,0.493150685,0.467391304,0.473684211,0.462962963,0.514285714
83,73,80,35,45,38,0.590361446,0.698630137,0.65,0.771428571,0.555555556,0.631578947
74,62,74,31,43,31,0.540540541,0.532258065,0.554054054,0.548387097,0.558139535,0.516129032
59,58,63,31,32,27,0.406779661,0.448275862,0.444444444,0.483870968,0.40625,0.407407407
71,62,69,30,39,32,0.394366197,0.419354839,0.405797101,0.433333333,0.384615385,0.40625
66,60,66,30,36,30,0.712121212,0.716666667,0.727272727,0.733333333,0.722222222,0.7
101,83,54,18,36,65,0.831683168,0.903614458,0.796296296,0.944444444,0.722222222,0.892307692
74,75,83,42,41,33,0.486486486,0.6,0.542168675,0.642857143,0.43902439,0.545454545
57,61,60,32,28,29,0.649122807,0.606557377,0.633333333,0.59375,0.678571429,0.620689655
69,65,72,34,38,31,0.623188406,0.692307692,0.638888889,0.705882353,0.578947368,0.677419355
72,65,71,32,39,33,0.319444444,0.323076923,0.309859155,0.3125,0.307692308,0.333333333
67,62,69,32,37,30,0.507462687,0.548387097,0.52173913,0.5625,0.486486486,0.533333333
64,63,63,31,32,32,0.328125,0.380952381,0.301587302,0.35483871,0.25,0.40625
87,78,91,41,50,37,0.379310345,0.384615385,0.428571429,0.43902439,0.42,0.324324324
69,64,73,34,39,30,0.362318841,0.296875,0.328767123,0.264705882,0.384615385,0.333333333
55,54,55,27,28,27,0.472727273,0.5,0.490909091,0.518518519,0.464285714,0.481481481
70,61,73,32,41,29,0.4,0.409836066,0.397260274,0.40625,0.390243902,0.413793103
72,63,73,32,41,31,0.416666667,0.412698413,0.356164384,0.34375,0.365853659,0.483870968
69,66,75,36,39,30,0.47826087,0.409090909,0.373333333,0.305555556,0.435897436,0.533333333
60,95,95,65,30,30,0.266666667,0.263157895,0.242105263,0.246153846,0.233333333,0.3
86,69,83,33,50,36,0.604651163,0.579710145,0.626506024,0.606060606,0.64,0.555555556
61,57,60,28,32,29,0.393442623,0.350877193,0.366666667,0.321428571,0.40625,0.379310345
67,62,69,32,37,30,0.47761194,0.467741935,0.420289855,0.40625,0.432432432,0.533333333
68,64,68,32,36,32,0.588235294,0.578125,0.632352941,0.625,0.638888889,0.53125
89,66,91,34,57,32,0.966292135,0.954545455,0.956043956,0.941176471,0.964912281,0.96875
67,61,72,33,39,28,0.462686567,0.442622951,0.444444444,0.424242424,0.461538462,0.464285714
39,53,54,34,20,19,0.948717949,0.962264151,0.962962963,0.970588235,0.95,0.947368421
61,57,62,29,33,28,0.672131148,0.614035088,0.677419355,0.620689655,0.727272727,0.607142857
65,58,67,30,37,28,0.553846154,0.603448276,0.582089552,0.633333333,0.540540541,0.571428571
87,69,88,35,53,34,0.218390805,0.173913043,0.170454545,0.114285714,0.20754717,0.235294118
66,63,71,34,37,29,0.742424242,0.761904762,0.774647887,0.794117647,0.756756757,0.724137931
98,64,86,26,60,38,0.857142857,0.796875,0.895348837,0.846153846,0.916666667,0.763157895
56,59,59,31,28,28,0.607142857,0.661016949,0.593220339,0.64516129,0.535714286,0.678571429
69,68,71,35,36,33,0.550724638,0.529411765,0.535211268,0.514285714,0.555555556,0.545454545
75,70,83,39,44,31,0.36,0.342857143,0.301204819,0.282051282,0.318181818,0.419354839
66,65,71,35,36,30,0.590909091,0.569230769,0.563380282,0.542857143,0.583333333,0.6
63,61,66,32,34,29,0.428571429,0.459016393,0.378787879,0.40625,0.352941176,0.517241379
75,69,80,37,43,32,0.173333333,0.202898551,0.1875,0.216216216,0.162790698,0.1875
64,54,64,27,37,27,0.390625,0.407407407,0.359375,0.37037037,0.351351351,0.444444444
58,56,60,29,31,27,0.5,0.482142857,0.5,0.482758621,0.516129032,0.481481481
87,102,73,44,29,58,0.402298851,0.303921569,0.328767123,0.227272727,0.482758621,0.362068966
69,63,68,31,37,32,0.449275362,0.380952381,0.426470588,0.35483871,0.486486486,0.40625
66,65,73,36,37,29,0.454545455,0.538461538,0.452054795,0.527777778,0.378378378,0.551724138
61,63,70,36,34,27,0.524590164,0.523809524,0.528571429,0.527777778,0.529411765,0.518518519
68,69,73,37,36,32,0.514705882,0.463768116,0.479452055,0.432432432,0.527777778,0.5
86,72,86,36,50,36,0.511627907,0.458333333,0.5,0.444444444,0.54,0.472222222
73,63,72,31,41,32,0.356164384,0.333333333,0.347222222,0.322580645,0.365853659,0.34375
68,69,71,36,35,33,0.367647059,0.347826087,0.267605634,0.25,0.285714286,0.454545455
93,83,82,36,46,47,0.075268817,0.060240964,0.048780488,0.027777778,0.065217391,0.085106383
81,82,85,43,42,39,0.567901235,0.62195122,0.717647059,0.76744186,0.666666667,0.461538462
91,88,75,36,39,52,0.340659341,0.352272727,0.346666667,0.361111111,0.333333333,0.346153846
62,58,66,31,35,27,0.403225806,0.465517241,0.333333333,0.387096774,0.285714286,0.555555556
68,66,72,35,37,31,0.397058824,0.318181818,0.333333333,0.257142857,0.405405405,0.387096774
74,70,72,34,38,36,0.540540541,0.485714286,0.527777778,0.470588235,0.578947368,0.5
69,67,78,38,40,29,0.289855072,0.268656716,0.282051282,0.263157895,0.3,0.275862069
72,66,70,32,38,34,0.416666667,0.484848485,0.428571429,0.5,0.368421053,0.470588235
85,75,72,31,41,44,0.870588235,0.853333333,0.861111111,0.838709677,0.87804878,0.863636364
71,66,75,35,40,31,0.309859155,0.303030303,0.266666667,0.257142857,0.275,0.35483871
60,95,95,65,30,30,0.733333333,0.821052632,0.821052632,0.861538462,0.733333333,0.733333333
79,79,94,47,47,32,0.075949367,0.063291139,0.031914894,0.021276596,0.042553191,0.125
68,66,66,32,34,34,0.617647059,0.666666667,0.696969697,0.75,0.647058824,0.588235294
70,63,69,31,38,32,0.628571429,0.714285714,0.68115942,0.774193548,0.605263158,0.65625
68,61,69,31,38,30,0.352941176,0.31147541,0.304347826,0.258064516,0.342105263,0.366666667
81,82,85,43,42,39,0.728395062,0.768292683,0.776470588,0.813953488,0.738095238,0.717948718
91,80,89,39,50,41,0.714285714,0.7125,0.719101124,0.717948718,0.72,0.707317073
82,88,88,47,41,41,0.414634146,0.329545455,0.375,0.29787234,0.463414634,0.365853659
98,57,77,18,59,39,0.724489796,0.824561404,0.701298701,0.833333333,0.661016949,0.820512821
62,59,71,34,37,25,0.338709677,0.338983051,0.295774648,0.294117647,0.297297297,0.4
66,66,66,33,33,33,0.515151515,0.454545455,0.454545455,0.393939394,0.515151515,0.515151515
64,63,69,34,35,29,0.390625,0.412698413,0.391304348,0.411764706,0.371428571,0.413793103
65,64,65,32,33,32,0.430769231,0.515625,0.446153846,0.53125,0.363636364,0.5
66,62,70,33,37,29,0.439393939,0.419354839,0.442857143,0.424242424,0.459459459,0.413793103
82,88,70,38,32,50,0.93902439,0.943181818,0.942857143,0.947368421,0.9375,0.94
63,65,62,32,30,33,0.619047619,0.538461538,0.580645161,0.5,0.666666667,0.575757576
66,62,70,33,37,29,0.318181818,0.290322581,0.271428571,0.242424242,0.297297297,0.344827586
97,79,86,34,52,45,0.412371134,0.379746835,0.395348837,0.352941176,0.423076923,0.4
67,66,73,36,37,30,0.462686567,0.46969697,0.438356164,0.444444444,0.432432432,0.5
64,58,64,29,35,29,0.484375,0.431034483,0.46875,0.413793103,0.514285714,0.448275862
84,94,70,40,30,54,0.345238095,0.372340426,0.428571429,0.45,0.4,0.314814815
68,73,75,40,35,33,0.220588235,0.287671233,0.16,0.225,0.085714286,0.363636364
84,90,92,49,43,41,0.511904762,0.555555556,0.489130435,0.530612245,0.441860465,0.585365854
22,61,65,52,13,9,0.5,0.409836066,0.523076923,0.461538462,0.769230769,0.111111111
79,81,90,46,44,35,0.582278481,0.641975309,0.622222222,0.673913043,0.568181818,0.6
67,64,65,31,34,33,0.313432836,0.328125,0.338461538,0.35483871,0.323529412,0.303030303
69,64,71,33,38,31,0.507246377,0.484375,0.535211268,0.515151515,0.552631579,0.451612903
70,70,74,37,37,33,0.485714286,0.457142857,0.432432432,0.405405405,0.459459459,0.515151515
71,68,71,34,37,34,0.352112676,0.323529412,0.352112676,0.323529412,0.378378378,0.323529412
61,57,66,31,35,26,0.573770492,0.526315789,0.560606061,0.516129032,0.6,0.538461538
65,65,70,35,35,30,0.523076923,0.507692308,0.471428571,0.457142857,0.485714286,0.566666667
57,59,60,31,29,28,0.649122807,0.627118644,0.666666667,0.64516129,0.689655172,0.607142857
78,68,84,37,47,31,0.307692308,0.352941176,0.285714286,0.324324324,0.255319149,0.387096774
91,86,89,42,47,44,0.846153846,0.802325581,0.876404494,0.833333333,0.914893617,0.772727273
65,60,69,32,37,28,0.476923077,0.5,0.420289855,0.4375,0.405405405,0.571428571
63,61,64,31,33,30,0.349206349,0.31147541,0.359375,0.322580645,0.393939394,0.3
90,81,83,37,46,44,0.366666667,0.259259259,0.289156627,0.162162162,0.391304348,0.340909091
73,71,74,36,38,35,0.205479452,0.225352113,0.175675676,0.194444444,0.157894737,0.257142857
55,58,59,31,28,27,0.636363636,0.551724138,0.559322034,0.483870968,0.642857143,0.62962963
100,86,78,32,46,54,0.24,0.279069767,0.282051282,0.34375,0.239130435,0.240740741
69,68,73,36,37,32,0.246376812,0.279411765,0.191780822,0.222222222,0.162162162,0.34375
72,64,70,31,39,33,0.5,0.515625,0.471428571,0.483870968,0.461538462,0.545454545
71,64,71,32,39,32,0.366197183,0.359375,0.323943662,0.3125,0.333333333,0.40625
57,61,70,37,33,24,0.421052632,0.409836066,0.357142857,0.351351351,0.363636364,0.5
63,54,65,28,37,26,0.285714286,0.277777778,0.230769231,0.214285714,0.243243243,0.346153846
69,71,76,39,37,32,0.304347826,0.323943662,0.289473684,0.307692308,0.27027027,0.34375
64,56,68,30,38,26,0.265625,0.25,0.279411765,0.266666667,0.289473684,0.230769231
74,70,80,38,42,32,0.297297297,0.285714286,0.3,0.289473684,0.30952381,0.28125
75,71,80,38,42,33,0.24,0.323943662,0.2625,0.342105263,0.19047619,0.303030303
57,55,64,31,33,24,0.49122807,0.472727273,0.40625,0.387096774,0.424242424,0.583333333
66,58,62,27,35,31,0.53030303,0.551724138,0.532258065,0.555555556,0.514285714,0.548387097
63,62,67,33,34,29,0.476190476,0.532258065,0.492537313,0.545454545,0.441176471,0.517241379
67,63,72,34,38,29,0.552238806,0.555555556,0.5,0.5,0.5,0.620689655
68,62,66,30,36,32,0.485294118,0.435483871,0.424242424,0.366666667,0.472222222,0.5
62,60,68,33,35,27,0.596774194,0.65,0.588235294,0.636363636,0.542857143,0.666666667
61,59,64,31,33,28,0.540983607,0.491525424,0.53125,0.483870968,0.575757576,0.5
69,67,72,35,37,32,0.260869565,0.223880597,0.208333333,0.171428571,0.243243243,0.28125
85,89,94,49,45,40,0.576470588,0.595505618,0.617021277,0.632653061,0.6,0.55
70,69,75,37,38,32,0.457142857,0.47826087,0.413333333,0.432432432,0.394736842,0.53125
71,64,67,30,37,34,0.366197183,0.421875,0.343283582,0.4,0.297297297,0.441176471
66,64,68,33,35,31,0.348484848,0.375,0.338235294,0.363636364,0.314285714,0.387096774
79,90,85,48,37,42,0.569620253,0.588888889,0.564705882,0.583333333,0.540540541,0.595238095
64,65,71,36,35,29,0.390625,0.446153846,0.366197183,0.416666667,0.314285714,0.482758621
69,62,69,31,38,31,0.507246377,0.516129032,0.507246377,0.516129032,0.5,0.516129032
67,64,65,31,34,33,0.597014925,0.53125,0.461538462,0.387096774,0.529411765,0.666666667
66,60,68,31,37,29,0.409090909,0.383333333,0.382352941,0.35483871,0.405405405,0.413793103
64,53,61,25,36,28,0.40625,0.433962264,0.442622951,0.48,0.416666667,0.392857143
60,53,61,27,34,26,0.466666667,0.396226415,0.409836066,0.333333333,0.470588235,0.461538462
69,63,70,32,38,31,0.52173913,0.53968254,0.514285714,0.53125,0.5,0.548387097
76,67,81,36,45,31,0.25,0.28358209,0.296296296,0.333333333,0.266666667,0.225806452
71,63,68,30,38,33,0.366197183,0.333333333,0.25,0.2,0.289473684,0.454545455
75,59,78,31,47,28,0.453333333,0.406779661,0.461538462,0.419354839,0.489361702,0.392857143
64,59,71,33,38,26,0.53125,0.525423729,0.464788732,0.454545455,0.473684211,0.615384615
72,66,72,33,39,33,0.305555556,0.318181818,0.291666667,0.303030303,0.282051282,0.333333333
59,58,61,30,31,28,0.677966102,0.672413793,0.639344262,0.633333333,0.64516129,0.714285714
68,65,73,35,38,30,0.382352941,0.415384615,0.397260274,0.428571429,0.368421053,0.4
69,66,73,35,38,31,0.47826087,0.484848485,0.479452055,0.485714286,0.473684211,0.483870968
79,89,92,51,41,38,0.455696203,0.505617978,0.510869565,0.549019608,0.463414634,0.447368421
70,64,72,33,39,31,0.385714286,0.359375,0.305555556,0.272727273,0.333333333,0.451612903
67,62,61,28,33,34,0.492537313,0.5,0.426229508,0.428571429,0.424242424,0.558823529
67,60,65,29,36,31,0.492537313,0.5,0.446153846,0.448275862,0.444444444,0.548387097
67,63,70,33,37,30,0.417910448,0.380952381,0.342857143,0.303030303,0.378378378,0.466666667
62,62,62,31,31,31,0.483870968,0.435483871,0.467741935,0.419354839,0.516129032,0.451612903
67,57,68,29,39,28,0.432835821,0.456140351,0.397058824,0.413793103,0.384615385,0.5
78,73,81,38,43,35,0.076923077,0.136986301,0.098765432,0.157894737,0.046511628,0.114285714
66,62,70,33,37,29,0.5,0.467741935,0.457142857,0.424242424,0.486486486,0.517241379
68,68,74,37,37,31,0.455882353,0.441176471,0.418918919,0.405405405,0.432432432,0.483870968
66,62,70,33,37,29,0.409090909,0.5,0.428571429,0.515151515,0.351351351,0.482758621
69,66,77,37,40,29,0.420289855,0.439393939,0.415584416,0.432432432,0.4,0.448275862
67,62,67,31,36,31,0.537313433,0.612903226,0.567164179,0.64516129,0.5,0.580645161
68,63,73,34,39,29,0.279411765,0.26984127,0.246575342,0.235294118,0.256410256,0.310344828
72,58,74,30,44,28,0.583333333,0.672413793,0.608108108,0.7,0.545454545,0.642857143
69,71,70,36,34,35,0.52173913,0.535211268,0.485714286,0.5,0.470588235,0.571428571
66,66,72,36,36,30,0.378787879,0.393939394,0.347222222,0.361111111,0.333333333,0.433333333
66,59,61,27,34,32,0.606060606,0.593220339,0.606557377,0.592592593,0.617647059,0.59375
65,63,70,34,36,29,0.323076923,0.317460317,0.3,0.294117647,0.305555556,0.344827586
63,62,69,34,35,28,0.380952381,0.338709677,0.304347826,0.264705882,0.342857143,0.428571429
80,94,94,54,40,40,0.95,0.914893617,0.914893617,0.888888889,0.95,0.95
74,65,69,30,39,35,0.310810811,0.292307692,0.289855072,0.266666667,0.307692308,0.314285714
66,66,72,36,36,30,0.515151515,0.560606061,0.486111111,0.527777778,0.444444444,0.6
68,63,69,32,37,31,0.573529412,0.587301587,0.550724638,0.5625,0.540540541,0.612903226
